method,inv_lambda,T
DQMC_FSS,0.6,2.05
DQMC_FSS,1.0,2.06
DQMC_FSS,1.3,2.20
DQMC_FSS,1.5,2.04
DQMC_FSS,1.7,1.95
DQMC_FSS,2.0,1.78
DQMC_FSS,2.5,1.42
DQMC_FSS,3.0,1.15
DQMC_FSS,3.3,1.00
DQMC_FSS,4.0,0.79
DQMC_FSS,5.0,0.63
LBC,1.0,2.00
LBC,2.0,1.85
LBC,3.0,0.85
LBC,4.0,0.70
LBC,5.0,0.55
PCA,3.0,1.18
PCA,4.0,0.78
tSNE,1.0,2.13
tSNE,2.0,1.95
tSNE,3.0,1.27
tSNE,4.0,0.78
tSNE,5.0,0.63
LBC_crossover,1.4,5.00
LBC_crossover,1.5,4.00
LBC_crossover,1.6,4.00
LBC_crossover,1.7,2.50
LBC_crossover,1.4,2.85
Broecker_crossover,1.4,5.00
Broecker_crossover,1.5,4.00
Broecker_crossover,1.5,3.33
Broecker_crossover,1.7,2.50
Broecker_crossover,1.4,2.85
Broecker_crossover,2.5,2.22
site_Holstein,1.0,0.18
site_Holstein,2.0,0.20
site_Holstein,3.0,0.21
site_Holstein,4.0,0.18
