%beta,row,col,value
1.0,0,0,1.64437449
1.0,0,1,0.81495645
1.0,0,2,1.05517869
1.0,0,3,0.97576951
1.0,0,4,1.01717426
1.0,0,5,0.97576951
1.0,0,6,1.05517869
1.0,0,7,0.81495645
1.0,1,0,0.81491686
1.0,1,1,1.08390689
1.0,1,2,0.95954374
1.0,1,3,1.02048601
1.0,1,4,0.98503394
1.0,1,5,1.02033164
1.0,1,6,0.95985531
1.0,1,7,1.08367477
1.0,2,0,1.05533187
1.0,2,1,0.95947009
1.0,2,2,1.02379313
1.0,2,3,0.98582914
1.0,2,4,1.01135698
1.0,2,5,0.98602205
1.0,2,6,1.02346201
1.0,2,7,0.95972311
1.0,3,0,0.97574457
1.0,3,1,1.02052656
1.0,3,2,0.9858234
1.0,3,3,1.01006246
1.0,3,4,0.99171651
1.0,3,5,1.00983528
1.0,3,6,0.98616352
1.0,3,7,1.02031919
1.0,4,0,1.01696518
1.0,4,1,0.98513987
1.0,4,2,1.01128174
1.0,4,3,0.99174461
1.0,4,4,1.00741835
1.0,4,5,0.99174461
1.0,4,6,1.01128174
1.0,4,7,0.98513987
1.0,5,0,0.97574457
1.0,5,1,1.02031919
1.0,5,2,0.98616352
1.0,5,3,1.00983528
1.0,5,4,0.99171651
1.0,5,5,1.01006246
1.0,5,6,0.9858234
1.0,5,7,1.02052656
1.0,6,0,1.05533187
1.0,6,1,0.95972311
1.0,6,2,1.02346201
1.0,6,3,0.98602205
1.0,6,4,1.01135698
1.0,6,5,0.98582914
1.0,6,6,1.02379313
1.0,6,7,0.95947009
1.0,7,0,0.81491686
1.0,7,1,1.08367477
1.0,7,2,0.95985531
1.0,7,3,1.02033164
1.0,7,4,0.98503394
1.0,7,5,1.02048601
1.0,7,6,0.95954374
1.0,7,7,1.08390689
1.1,0,0,1.65490419
1.1,0,1,0.78852594
1.1,0,2,1.07584139
1.1,0,3,0.95973405
1.1,0,4,1.03087777
1.1,0,5,0.95973405
1.1,0,6,1.07584139
1.1,0,7,0.78852594
1.1,1,0,0.78858871
1.1,1,1,1.10774843
1.1,1,2,0.93999158
1.1,1,3,1.03503626
1.1,1,4,0.97177886
1.1,1,5,1.0351478
1.1,1,6,0.93985071
1.1,1,7,1.10794061
1.1,2,0,1.07586002
1.1,2,1,0.93997788
1.1,2,2,1.03940784
1.1,2,3,0.97305616
1.1,2,4,1.02257393
1.1,2,5,0.97313582
1.1,2,6,1.0392737
1.1,2,7,0.9398723
1.1,3,0,0.959764
1.1,3,1,1.03499645
1.1,3,2,0.97302527
1.1,3,3,1.02045252
1.1,3,4,0.98169854
1.1,3,5,1.02035491
1.1,3,6,0.97315035
1.1,3,7,1.03510316
1.1,4,0,1.03084316
1.1,4,1,0.97176144
1.1,4,2,1.0226857
1.1,4,3,0.98164427
1.1,4,4,1.01653312
1.1,4,5,0.98164427
1.1,4,6,1.0226857
1.1,4,7,0.97176144
1.1,5,0,0.959764
1.1,5,1,1.03510316
1.1,5,2,0.97315035
1.1,5,3,1.02035491
1.1,5,4,0.98169854
1.1,5,5,1.02045252
1.1,5,6,0.97302527
1.1,5,7,1.03499645
1.1,6,0,1.07586002
1.1,6,1,0.9398723
1.1,6,2,1.0392737
1.1,6,3,0.97313582
1.1,6,4,1.02257393
1.1,6,5,0.97305616
1.1,6,6,1.03940784
1.1,6,7,0.93997788
1.1,7,0,0.78858871
1.1,7,1,1.10794061
1.1,7,2,0.93985071
1.1,7,3,1.0351478
1.1,7,4,0.97177886
1.1,7,5,1.03503626
1.1,7,6,0.93999158
1.1,7,7,1.10774843
1.2,0,0,1.66737345
1.2,0,1,0.75666567
1.2,0,2,1.10641591
1.2,0,3,0.93247525
1.2,0,4,1.05701661
1.2,0,5,0.93247525
1.2,0,6,1.10641591
1.2,0,7,0.75666567
1.2,1,0,0.75651417
1.2,1,1,1.14060279
1.2,1,2,0.90980577
1.2,1,3,1.06206341
1.2,1,4,0.94621612
1.2,1,5,1.06197451
1.2,1,6,0.91009613
1.2,1,7,1.14025949
1.2,2,0,1.10673742
1.2,2,1,0.90956349
1.2,2,2,1.06731132
1.2,2,3,0.94787427
1.2,2,4,1.04710882
1.2,2,5,0.94797841
1.2,2,6,1.06705762
1.2,2,7,0.90987444
1.2,3,0,0.93188724
1.2,3,1,1.0625739
1.2,3,2,0.94745483
1.2,3,3,1.04438809
1.2,3,4,0.95861024
1.2,3,5,1.04425912
1.2,3,6,0.94771171
1.2,3,7,1.06235789
1.2,4,0,1.057815
1.2,4,1,0.94568318
1.2,4,2,1.04745966
1.2,4,3,0.95862947
1.2,4,4,1.03916361
1.2,4,5,0.95862947
1.2,4,6,1.04745966
1.2,4,7,0.94568318
1.2,5,0,0.93188724
1.2,5,1,1.06235789
1.2,5,2,0.94771171
1.2,5,3,1.04425912
1.2,5,4,0.95861024
1.2,5,5,1.04438809
1.2,5,6,0.94745483
1.2,5,7,1.0625739
1.2,6,0,1.10673742
1.2,6,1,0.90987444
1.2,6,2,1.06705762
1.2,6,3,0.94797841
1.2,6,4,1.04710882
1.2,6,5,0.94787427
1.2,6,6,1.06731132
1.2,6,7,0.90956349
1.2,7,0,0.75651417
1.2,7,1,1.14025949
1.2,7,2,0.91009613
1.2,7,3,1.06197451
1.2,7,4,0.94621612
1.2,7,5,1.06206341
1.2,7,6,0.90980577
1.2,7,7,1.14060279
1.3,0,0,1.68380646
1.3,0,1,0.71156091
1.3,0,2,1.15678162
1.3,0,3,0.88213566
1.3,0,4,1.10696368
1.3,0,5,0.88213566
1.3,0,6,1.15678162
1.3,0,7,0.71156091
1.3,1,0,0.71132261
1.3,1,1,1.18990911
1.3,1,2,0.85906772
1.3,1,3,1.11200988
1.3,1,4,0.89689269
1.3,1,5,1.1121613
1.3,1,6,0.85909246
1.3,1,7,1.18982771
1.3,2,0,1.15728784
1.3,2,1,0.85868353
1.3,2,2,1.11750116
1.3,2,3,0.89913318
1.3,2,4,1.0954617
1.3,2,5,0.89886111
1.3,2,6,1.11755282
1.3,2,7,0.85875211
1.3,3,0,0.88122632
1.3,3,1,1.11289859
1.3,3,2,0.89851093
1.3,3,3,1.09202409
1.3,3,4,0.91154107
1.3,3,5,1.09232997
1.3,3,6,0.89835669
1.3,3,7,1.11294883
1.3,4,0,1.10812582
1.3,4,1,0.89575919
1.3,4,2,1.09631006
1.3,4,3,0.91128997
1.3,4,4,1.08599636
1.3,4,5,0.91128997
1.3,4,6,1.09631006
1.3,4,7,0.89575919
1.3,5,0,0.88122632
1.3,5,1,1.11294883
1.3,5,2,0.89835669
1.3,5,3,1.09232997
1.3,5,4,0.91154107
1.3,5,5,1.09202409
1.3,5,6,0.89851093
1.3,5,7,1.11289859
1.3,6,0,1.15728784
1.3,6,1,0.85875211
1.3,6,2,1.11755282
1.3,6,3,0.89886111
1.3,6,4,1.0954617
1.3,6,5,0.89913318
1.3,6,6,1.11750116
1.3,6,7,0.85868353
1.3,7,0,0.71132261
1.3,7,1,1.18982771
1.3,7,2,0.85909246
1.3,7,3,1.1121613
1.3,7,4,0.89689269
1.3,7,5,1.11200988
1.3,7,6,0.85906772
1.3,7,7,1.18990911
1.4,0,0,1.70665873
1.4,0,1,0.64600961
1.4,0,2,1.23702046
1.4,0,3,0.7960758
1.4,0,4,1.19440385
1.4,0,5,0.7960758
1.4,0,6,1.23702046
1.4,0,7,0.64600961
1.4,1,0,0.6459495
1.4,1,1,1.26495846
1.4,1,2,0.77588168
1.4,1,3,1.19898487
1.4,1,4,0.80890111
1.4,1,5,1.198741
1.4,1,6,0.77625717
1.4,1,7,1.26467842
1.4,2,0,1.23731321
1.4,2,1,0.77564365
1.4,2,2,1.20376881
1.4,2,3,0.81060434
1.4,2,4,1.18420587
1.4,2,5,0.81095792
1.4,2,6,1.20324889
1.4,2,7,0.77599302
1.4,3,0,0.79537537
1.4,3,1,1.19957818
1.4,3,2,0.8102871
1.4,3,3,1.18132849
1.4,3,4,0.82207863
1.4,3,5,1.18105329
1.4,3,6,0.81064202
1.4,3,7,1.19938397
1.4,4,0,1.19542535
1.4,4,1,0.80802181
1.4,4,2,1.18472238
1.4,4,3,0.82193215
1.4,4,4,1.17549476
1.4,4,5,0.82193215
1.4,4,6,1.18472238
1.4,4,7,0.80802181
1.4,5,0,0.79537537
1.4,5,1,1.19938397
1.4,5,2,0.81064202
1.4,5,3,1.18105329
1.4,5,4,0.82207863
1.4,5,5,1.18132849
1.4,5,6,0.8102871
1.4,5,7,1.19957818
1.4,6,0,1.23731321
1.4,6,1,0.77599302
1.4,6,2,1.20324889
1.4,6,3,0.81095792
1.4,6,4,1.18420587
1.4,6,5,0.81060434
1.4,6,6,1.20376881
1.4,6,7,0.77564365
1.4,7,0,0.6459495
1.4,7,1,1.26467842
1.4,7,2,0.77625717
1.4,7,3,1.198741
1.4,7,4,0.80890111
1.4,7,5,1.19898487
1.4,7,6,0.77588168
1.4,7,7,1.26495846
1.5,0,0,1.73569876
1.5,0,1,0.56210168
1.5,0,2,1.34451882
1.5,0,3,0.67742223
1.5,0,4,1.31645713
1.5,0,5,0.67742223
1.5,0,6,1.34451882
1.5,0,7,0.56210168
1.5,1,0,0.56220601
1.5,1,1,1.36285686
1.5,1,2,0.66409257
1.5,1,3,1.31931949
1.5,1,4,0.68559852
1.5,1,5,1.31934262
1.5,1,6,0.66395574
1.5,1,7,1.362946
1.5,2,0,1.34444431
1.5,2,1,0.66406295
1.5,2,2,1.32222012
1.5,2,3,0.68684189
1.5,2,4,1.31004576
1.5,2,5,0.68680175
1.5,2,6,1.32233148
1.5,2,7,0.66401221
1.5,3,0,0.67739361
1.5,3,1,1.31936621
1.5,3,2,0.68675071
1.5,3,3,1.30806019
1.5,3,4,0.69383052
1.5,3,5,1.30817708
1.5,3,6,0.68662686
1.5,3,7,1.31943023
1.5,4,0,1.31654352
1.5,4,1,0.68546558
1.5,4,2,1.31026377
1.5,4,3,0.69375412
1.5,4,4,1.30474496
1.5,4,5,0.69375412
1.5,4,6,1.31026377
1.5,4,7,0.68546558
1.5,5,0,0.67739361
1.5,5,1,1.31943023
1.5,5,2,0.68662686
1.5,5,3,1.30817708
1.5,5,4,0.69383052
1.5,5,5,1.30806019
1.5,5,6,0.68675071
1.5,5,7,1.31936621
1.5,6,0,1.34444431
1.5,6,1,0.66401221
1.5,6,2,1.32233148
1.5,6,3,0.68680175
1.5,6,4,1.31004576
1.5,6,5,0.68684189
1.5,6,6,1.32222012
1.5,6,7,0.66406295
1.5,7,0,0.56220601
1.5,7,1,1.362946
1.5,7,2,0.66395574
1.5,7,3,1.31934262
1.5,7,4,0.68559852
1.5,7,5,1.31931949
1.5,7,6,0.66409257
1.5,7,7,1.36285686
1.6,0,0,1.76137746
1.6,0,1,0.48921052
1.6,0,2,1.43764466
1.6,0,3,0.57488576
1.6,0,4,1.42188199
1.6,0,5,0.57488576
1.6,0,6,1.43764466
1.6,0,7,0.48921052
1.6,1,0,0.48903582
1.6,1,1,1.44821324
1.6,1,2,0.56702029
1.6,1,3,1.42354555
1.6,1,4,0.57916027
1.6,1,5,1.42339966
1.6,1,6,0.56720575
1.6,1,7,1.44806805
1.6,2,0,1.43782353
1.6,2,1,0.56693138
1.6,2,2,1.42520846
1.6,2,3,0.57958859
1.6,2,4,1.41877844
1.6,2,5,0.57976359
1.6,2,6,1.42494687
1.6,2,7,0.56713217
1.6,3,0,0.5746517
1.6,3,1,1.42369579
1.6,3,2,0.57947754
1.6,3,3,1.41799615
1.6,3,4,0.5830711
1.6,3,5,1.41791276
1.6,3,6,0.57962948
1.6,3,7,1.42358138
1.6,4,0,1.42215882
1.6,4,1,0.57892997
1.6,4,2,1.41896985
1.6,4,3,0.58298507
1.6,4,4,1.41632815
1.6,4,5,0.58298507
1.6,4,6,1.41896985
1.6,4,7,0.57892997
1.6,5,0,0.5746517
1.6,5,1,1.42358138
1.6,5,2,0.57962948
1.6,5,3,1.41791276
1.6,5,4,0.5830711
1.6,5,5,1.41799615
1.6,5,6,0.57947754
1.6,5,7,1.42369579
1.6,6,0,1.43782353
1.6,6,1,0.56713217
1.6,6,2,1.42494687
1.6,6,3,0.57976359
1.6,6,4,1.41877844
1.6,6,5,0.57958859
1.6,6,6,1.42520846
1.6,6,7,0.56693138
1.6,7,0,0.48903582
1.6,7,1,1.44806805
1.6,7,2,0.56720575
1.6,7,3,1.42339966
1.6,7,4,0.57916027
1.6,7,5,1.42354555
1.6,7,6,0.56702029
1.6,7,7,1.44821324
1.7,0,0,1.78154538
1.7,0,1,0.43352335
1.7,0,2,1.50681824
1.7,0,3,0.50003778
1.7,0,4,1.49839625
1.7,0,5,0.50003778
1.7,0,6,1.50681824
1.7,0,7,0.43352335
1.7,1,0,0.43358966
1.7,1,1,1.512187
1.7,1,2,0.49561685
1.7,1,3,1.49922425
1.7,1,4,0.50210476
1.7,1,5,1.49920744
1.7,1,6,0.49566821
1.7,1,7,1.5120945
1.7,2,0,1.50681213
1.7,2,1,0.49558999
1.7,2,2,1.50008843
1.7,2,3,0.50221687
1.7,2,4,1.49712002
1.7,2,5,0.50224468
1.7,2,6,1.49996765
1.7,2,7,0.4957069
1.7,3,0,0.49996875
1.7,3,1,1.49928708
1.7,3,2,0.50215386
1.7,3,3,1.49682846
1.7,3,4,0.50368027
1.7,3,5,1.49678878
1.7,3,6,0.50223768
1.7,3,7,1.49922919
1.7,4,0,1.49848754
1.7,4,1,0.50204774
1.7,4,2,1.49717462
1.7,4,3,0.50364774
1.7,4,4,1.49615423
1.7,4,5,0.50364774
1.7,4,6,1.49717462
1.7,4,7,0.50204774
1.7,5,0,0.49996875
1.7,5,1,1.49922919
1.7,5,2,0.50223768
1.7,5,3,1.49678878
1.7,5,4,0.50368027
1.7,5,5,1.49682846
1.7,5,6,0.50215386
1.7,5,7,1.49928708
1.7,6,0,1.50681213
1.7,6,1,0.4957069
1.7,6,2,1.49996765
1.7,6,3,0.50224468
1.7,6,4,1.49712002
1.7,6,5,0.50221687
1.7,6,6,1.50008843
1.7,6,7,0.49558999
1.7,7,0,0.43358966
1.7,7,1,1.5120945
1.7,7,2,0.49566821
1.7,7,3,1.49920744
1.7,7,4,0.50210476
1.7,7,5,1.49922425
1.7,7,6,0.49561685
1.7,7,7,1.512187
1.8,0,0,1.79597921
1.8,0,1,0.39486682
1.8,0,2,1.55344482
1.8,0,3,0.45024345
1.8,0,4,1.54893505
1.8,0,5,0.45024345
1.8,0,6,1.55344482
1.8,0,7,0.39486682
1.8,1,0,0.39484446
1.8,1,1,1.55586349
1.8,1,2,0.44765268
1.8,1,3,1.54931422
1.8,1,4,0.4512193
1.8,1,5,1.54930265
1.8,1,6,0.44764829
1.8,1,7,1.55589326
1.8,2,0,1.55346563
1.8,2,1,0.44766137
1.8,2,2,1.54968859
1.8,2,3,0.45122575
