%beta,S_CDW,error
0.5,1.07405618,0.00277609
0.6,1.27876793,0.00436323
0.7,1.50665834,0.00604338
0.8,1.83134306,0.00903005
0.9,2.28143524,0.01391938
1.0,2.92706081,0.02249836
1.3,10.26677478,0.14844856
1.5,40.35210186,0.39274746
1.7,72.19033264,0.12453092
2.2,91.99331629,0.01949981
2.3,93.43123083,0.01640693
2.4,94.47800674,0.01419956
2.5,95.35428964,0.01297635
2.6,96.03116093,0.01110011
2.7,96.59007237,0.01027283
2.8,97.00257524,0.00980703
3.5,98.50761771,0.00752633
4.0,98.88839821,0.00713667
4.5,99.04715164,0.00661778
